日期,湖北,廣東,北京,上海,浙江,天津,重慶,江西,山東,河南,湖南,四川,雲南,山西,福建,遼寧,海南,安徽,貴州,廣西,寧夏,河北,江蘇,吉林,黑龍江,陝西,新疆,甘肅,內蒙古,青海,西藏,台灣
3/10,13,0,6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
3/11,8,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
3/12,5,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/13,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
3/14,4,1,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4
3/15,4,4,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
3/16,1,3,9,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
3/17,1,5,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
3/18,0,9,21,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10
3/19,0,14,6,8,1,1,0,0,1,0,0,1,0,0,3,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,31
3/20,0,7,14,9,2,0,0,0,2,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
3/21,0,8,13,14,1,0,0,1,1,0,0,1,0,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,27
3/22,0,6,10,10,1,0,1,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18
3/23,1,15,32,10,2,4,1,0,1,0,0,2,0,1,5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12
3/24,0,5,5,19,1,4,0,0,1,0,0,2,0,0,4,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,0,30
3/25,0,11,6,18,2,2,0,0,0,1,0,0,2,1,6,0,0,0,0,0,0,0,2,1,0,3,0,0,12,0,0,21
3/26,0,12,4,17,4,4,0,0,2,0,0,1,2,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,19
3/27,0,11,3,17,4,5,0,0,1,0,0,0,0,0,6,3,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,17
3/28,0,8,4,7,3,7,1,1,0,1,0,2,0,1,1,3,0,0,1,0,0,0,3,1,0,0,0,0,1,0,0,15
3/29,0,9,1,6,1,3,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,2,1,0,0,0,0,2,2,0,0,16
3/30,0,6,3,11,2,8,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,23
3/31,1,11,0,7,0,0,0,0,0,0,0,2,2,1,2,1,0,0,0,0,0,2,0,0,0,2,0,0,4,0,0,0
4/1,0,6,2,6,1,2,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,6,0,0,16
4/2,0,7,1,4,2,1,0,0,3,0,0,1,1,0,4,1,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,17
4/3,1,2,2,3,2,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
4/4,0,8,1,2,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,13,0,0,0,0,0,0,16
4/5,0,8,1,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,1,0,0,8
4/6,0,1,0,2,1,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,20,0,0,0,3,0,0,0
4/7,0,3,1,5,1,0,0,0,2,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,25,0,0,0,3,0,0,10
4/8,0,3,0,9,1,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,40,0,0,0,2,0,0,3
4/9,0,5,0,3,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,29,0,0,0,2,0,0,3
4/10,0,4,1,0,0,1,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0,1,0,23,0,0,0,10,0,0,1
4/11,0,4,0,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,23,0,0,0,17,0,0,0
4/12,0,3,0,11,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,56,0,0,0,35,0,0,5
4/13,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,3
4/14,0,2,1,4,1,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,0,5
4/15,0,5,3,6,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,20,0,0,0,3,0,0,2
4/16,0,6,0,0,0,1,0,0,3,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
4/17,0,2,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
4/18,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0
4/19,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,3
4/20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,0,22
4/21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,21,0,0,0,0,0,2
4/22,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,3
4/23,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1
4/24,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,7,0,0,0,0,0,1
4/25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,1
4/26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
4/27,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
4/28,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
4/29,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4/30,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0
5/1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5/2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5/3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5/4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
